cell_id,LST_Celsius,NDVI,NDBI,Elevation,lon,lat,road_length_m,distance_to_coast_m
0,25.25935639252789,0.2235680603574929,0.1872880166535758,0.0,66.90250842394018,24.74779484755205,0.0,8435.28673143774
1,25.593446319969736,0.2746737074163913,0.2202032566542557,0.0,66.90243265080301,24.75230750534918,0.0,8065.569223227442
2,25.858869876098588,0.3278958203494423,0.209120749630699,0.0,66.90235685924681,24.75682016021145,0.0,7710.561039734999
3,25.600510806945227,0.2402924576312728,0.1331005351057759,0.0,66.90228104926867,24.76133281213848,0.0,7366.646713692226
4,25.400387913186147,0.2197160240351989,0.1362149961918113,0.0,66.90220522086565,24.765845461129803,0.0,6990.616739047345
5,26.352522820423797,0.1336803972767382,0.1025499827505964,0.0,66.90212937403484,24.770358107185025,0.0,6617.387801959325
6,26.2790167801651,0.1418313271838146,0.1099617320853878,0.0,66.9020535087733,24.77487075030371,0.0,6261.862362785776
7,26.201391425278597,0.1058042031130717,0.0717209711985185,0.0,66.90197762507815,24.779383390485428,0.0,5895.288646921567
8,26.076519432125483,0.1376980183528416,0.0673145746115945,0.0,66.90190172294645,24.78389602772977,0.0,5532.6944050602015
9,25.98840949324753,0.1050569147825501,0.059294363096983,0.0,66.90182580237523,24.78840866203632,0.0,5151.045031728299
10,25.9521040213661,0.1020464549002937,0.061769466700737,0.0,66.9017498633616,24.792921293404618,0.0,4780.233845699603
11,25.979126710646963,0.1251377356654519,0.057571270710837,0.0,66.90167390590265,24.79743392183428,0.0,4409.822560818191
12,25.88670763507712,0.1044003395204788,0.0532389917004895,0.0,66.9015979299954,24.801946547324857,0.0,4031.013118623011
13,25.79676701801185,0.0947707261175639,0.0438063542787962,0.0,66.90152193563696,24.80645916987594,0.0,3632.761342870645
14,25.791085890539662,0.0865328672304046,0.0329509093770827,0.0,66.90144592282441,24.8109717894871,0.0,3230.5567863702418
15,25.953970658624986,0.0827706876091294,0.0319774005802964,0.0,66.90136989155478,24.81548440615792,0.0,2833.462328583374
16,26.22610353589768,0.0817389854924485,0.0220760209031367,0.0,66.90129384182515,24.81999701988796,0.0,2395.3699819240383
17,26.345480552889,0.0682627702242534,0.0141846395338829,0.0,66.90121777363261,24.82450963067681,0.0,1966.4274745099199
18,26.458103567684383,0.0179402003438096,-0.0048479166139675,0.0,66.90114168697423,24.82902223852405,0.0,1550.0130460159148
19,26.646069620404205,-0.0147243786391747,-0.0337236652506452,0.0,66.90106558184704,24.83353484342926,0.0,1104.9359399140703
20,27.079273347143264,-0.100435744156631,-0.0791581545143208,0.0,66.9009894582481,24.838047445392,0.0,622.6142043719274
21,30.338207536000848,-0.075377871451032,-0.0744225956528068,1.2893107717705323,66.90091331617451,24.84256004441185,75.72680788257783,168.81477128053444
22,37.04060734624486,0.3570374933189809,-0.1483015630853678,4.904951856946356,66.90083715562332,24.847072640488413,4259.236503768671,11.19001871217969
23,31.920553257077056,0.6655819961527447,-0.4154969662482502,6.13053645116919,66.90076097659158,24.85158523362124,16.491540733670018,295.99817217334726
24,31.023222629185724,0.5372035103112933,-0.3629706842337218,4.288033012379644,66.90068477907637,24.85609782380992,0.0,277.63652699576704
25,33.03319104970557,0.2703942274035591,-0.2134357475288505,1.8450742982938917,66.90060856307471,24.860610411054022,0.0,169.62706756967398
26,36.23716554338241,0.1558787166238303,-0.1054048624868524,0.0,66.9005323285837,24.86512299535312,0.0,118.87466937851912
