cell_id,LST_Celsius,NDVI,NDBI,Elevation,lon,lat,road_length_m
0,49.578635727254714,0.18460005663552775,0.0669327543847808,204.45317220543805,74.152622541456,31.350636362980964,4188.219826242895
1,50.09939891017754,0.17952293642967043,0.07242283809141044,205.92991452991453,74.1525820893877,31.35514723287628,7547.041898997074
2,49.651301105043366,0.18695368831686232,0.053923474199088675,210.38991066736727,74.15254162822949,31.35965809954965,8097.100636617341
3,47.85342917331276,0.19180074267349584,0.011049656332419026,210.28434336795067,74.15250115797963,31.36416896300084,6442.029291554116
4,48.09303557590779,0.19441118781722755,0.022207471730680602,210.25354703100376,74.15246067863632,31.36867982322956,9632.942981296936
5,47.65788541462511,0.24292315999077865,0.007171040141136108,209.32570376216788,74.15242019019772,31.37319068023553,3000.1238450191317
6,45.60058512999214,0.2559911421594324,0.00018382035067618298,208.63301787592016,74.15237969266207,31.37770153401852,1482.4889982579043
7,47.29509550098582,0.23958082600954586,-0.005956894374553777,208.43165089379605,74.15233918602756,31.382212384578224,4339.507343223475
8,45.555610215817275,0.17896686177733315,0.048854318174252245,207.81029276618094,74.15229867029238,31.38672323191441,9563.01094771659
9,46.1517204133636,0.15546406226348888,0.05307836904418073,208.01327549947425,74.15225814545474,31.391234076026777,4699.939389539757
10,46.83445272856245,0.21327015669008448,0.01593199448432441,208.96048312984118,74.15221761151285,31.395744916915085,2978.9155171217863
11,47.62552611504732,0.278931153020711,-0.005894820853799636,207.26511566771816,74.15217706846491,31.400255754579053,1979.154887624108
12,49.18310406580339,0.24004269761009403,0.034669611307891965,208.43961669729586,74.1521365163091,31.404766589018426,983.7909593993652
13,45.89152521329656,0.28900919613045667,-0.02204161864774819,207.80126182965304,74.15209595504363,31.409277420232915,2805.1909855540844
14,46.63051558111319,0.272541984856403,-0.0109075155366738,205.68129846234723,74.1520553846667,31.41378824822227,4603.874656983821
15,47.82539859289937,0.20892178612166679,0.005613329078201673,200.01274303730952,74.15201480517649,31.418299072986237,16433.762189133136
16,48.63030165000264,0.2047288879957719,0.00815275166393996,200.72585096596134,74.15197421657119,31.422809894524512,14022.971854875645
17,46.976550034994105,0.3204301716075019,-0.06539691766056382,201.4714304479181,74.15193361884901,31.427320712836856,33.42315660119845
18,47.856721833472236,0.3108075379987449,-0.04905018123446986,200.0061768957814,74.15189301200819,31.431831527923013,0.0
19,46.61988932332987,0.33441371972996103,-0.057992616916429936,201.11230789439128,74.15185239604683,31.436342339782684,0.0
20,53.08393241881521,0.2211920659106689,0.019920882946754627,204.83633258899258,74.1518117709632,31.44085314841562,0.0
21,47.983389115709436,0.24337923240460851,-0.013689750906237861,201.39152119700753,74.15177113675547,31.445363953821555,0.0
22,39.665546905501145,0.15040253335827652,-0.1307368065938905,197.3501904636806,74.15173049342184,31.44987475600024,0.0
23,48.08030869113345,0.2583089540127238,-0.019273473996615234,198.1381345926802,74.15168984096046,31.45438555495136,0.0
24,47.201173749302626,0.32264875191575987,-0.043576015013431516,199.7943262411348,74.15164917936957,31.45889635067469,0.0
25,44.232890008170045,0.3772228618663078,-0.09232810383758498,200.01679128951858,74.15160850864733,31.463407143169963,0.0
26,42.233789126383854,0.4439952536243911,-0.14281522375577996,200.653487455668,74.15156782879195,31.467917932436908,0.0
27,43.60557539552117,0.38049950249079506,-0.09556237535404323,201.14741401942774,74.15152713980163,31.47242871847524,0.0
28,44.3819190991074,0.38151828820421113,-0.08261679131284086,201.99186138093987,74.1514864416745,31.476939501284708,0.0
29,43.57437609336701,0.35856306295326573,-0.07072861923979022,201.45422350472188,74.15144573440885,31.481450280865054,0.0
30,43.06929379321438,0.38556307076919755,-0.10468295674805454,202.65848858567296,74.15140501800276,31.485961057216,0.0
31,44.570824260495876,0.3184156692164436,-0.07087932181834525,199.7267479994752,74.15136429245449,31.49047183033728,0.0
32,40.319912578259164,0.36934748337371015,-0.10779612471815672,202.29539188656946,74.15132355776218,31.494982600228653,0.0
33,38.43998393231407,0.36784709409230304,-0.11229678697438165,202.4075823166732,74.15128281392406,31.49949336688982,0.0
34,36.78276782778654,0.42173688697313655,-0.1345753168252801,203.12629644216878,74.15124206093827,31.504004130320524,0.0
35,38.152328493434844,0.41927371955518544,-0.1420822363857221,203.79222995143718,74.15120129880302,31.50851489052052,0.0
36,40.78991501635208,0.38995083282718196,-0.1174440593554622,203.22026778682067,74.1511605275165,31.51302564748952,0.0
37,40.30618552813314,0.3828655564573093,-0.11097340492919754,204.08323486937115,74.15111974707686,31.51753640122728,0.0
38,39.31434667345929,0.3622931861905676,-0.09484408065064566,204.58310376492193,74.15107895748233,31.522047151733517,0.0
39,39.440071564569074,0.32753108488093635,-0.0828985947442022,204.17945690672963,74.15103815873105,31.52655789900797,0.0
40,38.56807249652547,0.32737674634740316,-0.07523220491021775,204.37959076600208,74.15099735082124,31.53106864305038,724.3113406622736
