cell_id,lon,lat,road_length_m
0,74.152622541456,31.350636362980964,4188.219826242895
1,74.1525820893877,31.35514723287628,7547.041898997074
2,74.15254162822949,31.359658099549655,8097.1006366173415
3,74.15250115797963,31.364168963000836,6442.029291554116
4,74.15246067863632,31.368679823229556,9632.942981296937
5,74.15242019019772,31.37319068023553,3000.1238450191313
6,74.15237969266207,31.377701534018517,1482.4889982579045
7,74.15233918602756,31.382212384578224,4339.507343223475
8,74.15229867029238,31.386723231914406,9563.01094771659
9,74.15225814545474,31.391234076026777,4699.939389539757
10,74.15221761151285,31.395744916915085,2978.9155171217863
11,74.15217706846491,31.400255754579053,1979.1548876241077
12,74.1521365163091,31.404766589018426,983.7909593993653
13,74.15209595504363,31.409277420232915,2805.1909855540844
14,74.1520553846667,31.41378824822227,4603.874656983821
15,74.15201480517649,31.418299072986233,16433.762189133136
16,74.15197421657119,31.422809894524512,14022.971854875643
17,74.15193361884901,31.427320712836856,33.42315660119845
18,74.15189301200819,31.431831527923013,0.0
19,74.15185239604683,31.436342339782684,0.0
20,74.1518117709632,31.44085314841562,0.0
21,74.15177113675547,31.445363953821555,0.0
22,74.15173049342184,31.449874756000238,0.0
23,74.15168984096046,31.45438555495136,0.0
24,74.15164917936957,31.45889635067469,0.0
25,74.15160850864733,31.463407143169963,0.0
26,74.15156782879195,31.467917932436908,0.0
27,74.15152713980163,31.472428718475236,0.0
28,74.1514864416745,31.476939501284708,0.0
29,74.15144573440885,31.481450280865058,0.0
30,74.15140501800276,31.485961057216,0.0
31,74.15136429245449,31.490471830337277,0.0
32,74.15132355776218,31.494982600228653,0.0
33,74.15128281392406,31.49949336688982,0.0
34,74.15124206093827,31.504004130320524,0.0
35,74.15120129880302,31.50851489052052,0.0
36,74.1511605275165,31.51302564748952,0.0
37,74.15111974707686,31.51753640122728,0.0
38,74.15107895748233,31.522047151733513,0.0
39,74.15103815873105,31.52655789900797,0.0
40,74.15099735082124,31.53106864305038,724.3113406622736
41,74.15095653375107,31.535579383860465,211.24593404578732
42,74.15091570751868,31.540090121437984,81.55183641166926
43,74.15087487212232,31.54460085578268,0.0
44,74.1508340275601,31.549111586894245,298.6342341305381
45,74.15079317383024,31.553622314772454,0.0
46,74.15075231093087,31.558133039417015,0.0
47,74.15071143886026,31.56264376082769,0.0
48,74.15067055761651,31.567154479004206,0.0
49,74.15062966719779,31.57166519394628,0.0
50,74.15058876760233,31.57617590565368,0.0
51,74.15054785882828,31.580686614126133,0.0
52,74.1505069408738,31.585197319363346,0.0
53,74.15046601373707,31.589708021365077,0.0
54,74.15042507741627,31.59421872013107,0.0
55,74.15038413190956,31.598729415661058,0.0
56,74.15034317721513,31.603240107954765,0.0
57,74.15030221333117,31.607750797011953,0.0
58,74.1502612402558,31.612261482832317,0.0
59,74.15022025798721,31.61677216541562,0.0
60,74.15017926652358,31.621282844761605,0.0
61,74.15013826586309,31.62579352087,0.0
62,74.15009725600386,31.630304193740546,435.0262157283607
63,74.1500562369441,31.634814863372966,876.4088331779483
64,74.15001520868198,31.63932552976701,516.3700951602422
65,74.14997417121562,31.64383619292241,0.0
66,74.14993312454324,31.648346852838905,158.4917359491986
67,74.15787876544005,31.350670967289577,2155.4642876440466
68,74.15783856422061,31.355181843284356,9736.415140902645
69,74.15779835396766,31.359692716057786,9569.331121534142
70,74.15775813467941,31.364203585609584,4690.098360629285
71,74.15771790635408,31.368714451939482,3539.9965408089483
72,74.15767766898988,31.373225315047222,3853.0914151919947
73,74.15763742258501,31.37773617493253,5270.7904345991965
74,74.1575971671377,31.382247031595142,8414.933014321137
75,74.15755690264614,31.386757885034797,9937.046040666877
76,74.15751662910856,31.39126873525121,8756.138237109804
77,74.15747634652315,31.395779582244113,8611.869333616274
78,74.15743605488818,31.400290426013278,3241.3601465032066
79,74.15739575420181,31.404801266558394,3005.6634159280707
80,74.15735544446223,31.409312103879213,373.14205182614046
81,74.15731512566767,31.413822937975482,5612.683633967843
82,74.15727479781638,31.418333768846903,15208.82650316975
83,74.15723446090648,31.422844596493228,16108.625014207628
84,74.15719411493627,31.427355420914193,2316.3753094813064
85,74.15715375990389,31.431866242109525,0.0
86,74.15711339580758,31.43637706007896,0.0
87,74.15707302264552,31.440887874822227,0.0
88,74.15703264041593,31.445398686339068,0.0
89,74.15699224911702,31.44990949462922,0.0
90,74.15695184874697,31.454420299692398,0.0
91,74.156911439304,31.45893110152835,0.0
92,74.15687102078631,31.46344190013683,0.0
93,74.1568305931921,31.467952695517535,0.0
94,74.15679015651956,31.472463487670215,0.0
95,74.1567497107669,31.476974276594607,0.0
96,74.15670925593233,31.481485062290446,0.0
97,74.15666879201402,31.485995844757454,0.0
98,74.1566283190102,31.490506623995383,0.0
99,74.15658783691904,31.495017400003967,0.0
100,74.15654734573876,31.499528172782927,127.59666274288642
101,74.15650684546756,31.504038942331995,2622.226426093769
102,74.1564663361036,31.508549708650936,1000.5324240647558
103,74.15642581764511,31.51306047173946,841.8142796559657
104,74.15638529009026,31.51757123159731,722.7075977803186
105,74.15634475343728,31.522081988224205,0.0
106,74.15630420768431,31.526592741619904,1048.7790606079802
107,74.1562636528296,31.531103491784126,477.2297753607375
108,74.15622308887131,31.53561423871662,1298.0186516272859
109,74.15618251580763,31.54012498241711,3002.9787520563864
110,74.15614193363676,31.544635722885346,3084.4231107163564
111,74.15610134235688,31.549146460121044,1966.5432736528824
112,74.1560607419662,31.55365719412395,1562.9554750591838
113,74.1560201324629,31.558167924893798,773.5029848249856
114,74.15597951384515,31.562678652430325,0.0
115,74.15593888611117,31.567189376733264,0.0
116,74.15589824925911,31.571700097802356,505.59583722224596
117,74.15585760328719,31.576210815637335,1000.0188614585109
118,74.15581694819356,31.580721530237938,1000.0066057666588
119,74.15577628397645,31.585232241603897,2217.628211400474
120,74.15573561063404,31.589742949734955,1425.6603713344034
121,74.15569492816448,31.59425365463085,1000.1164643572265
122,74.15565423656598,31.598764356291305,1369.433941094433
123,74.15561353583671,31.60327505471608,790.1942533966294
124,74.15557282597487,31.607785749904885,0.0
125,74.15553210697861,31.612296441857463,0.0
126,74.15549137884615,31.616807130573562,0.0
127,74.15545064157564,31.62131781605292,0.0
128,74.15540989516526,31.625828498295252,1220.3392045850405
129,74.15536913961324,31.630339177300325,2661.1719547842677
130,74.15532837491769,31.634849853067863,2630.1580453663464
131,74.15528760107682,31.639360525597585,1000.1578113267566
132,74.15524681808883,31.643871194889257,800.1105851692531
133,74.15520602595183,31.648381860942607,1358.7148861232286
134,74.16313499845582,31.350705356331144,6082.607410533064
135,74.16309504808707,31.355216238387463,12469.605729381945
136,74.16305508874115,31.359727117222995,10548.846888669314
137,74.1630151204163,31.364237992837467,8476.577435461812
138,74.16297514311074,31.3687488652306,10880.160624516111
139,74.16293515682268,31.373259734402147,9776.7276131313
140,74.1628951615504,31.37777060035182,8684.14441031073
141,74.16285515729206,31.38228146307938,10708.922316473108
142,74.16281514404591,31.386792322584533,10506.577612933705
143,74.16277512181018,31.391303178867016,11493.84520144013
144,74.1627350905831,31.39581403192658,3310.4132174557117
145,74.16269505036283,31.400324881762938,2500.398558985055
146,74.16265500114767,31.404835728375836,464.5356163651199
147,74.1626149429358,31.409346571764996,3899.1353954877923
148,74.16257487572545,31.413857411930174,4870.918786834868
149,74.16253479951482,31.418368248871083,4526.23524257418
150,74.16249471430217,31.42287908258746,11206.818446218469
151,74.16245462008568,31.427389913079036,9542.153266625848
152,74.16241451686355,31.431900740345558,0.0
153,74.16237440463405,31.43641156438675,0.0
154,74.16233428339535,31.44092238520234,0.0
155,74.16229415314572,31.445433202792085,0.0
156,74.16225401388334,31.449944017155698,0.0
157,74.16221386560642,31.454454828292906,0.0
158,74.16217370831315,31.45896563620347,0.0
159,74.1621335420018,31.46347644088711,0.0
160,74.16209336667055,31.467987242343554,0.0
161,74.1620531823176,31.472498040572557,0.0
162,74.1620129889412,31.47700883557383,0.0
163,74.16197278653954,31.481519627347115,0.0
164,74.1619325751108,31.486030415892163,0.0
165,74.16189235465325,31.490541201208682,0.0
166,74.16185212516504,31.49505198329643,0.0
167,74.16181188664441,31.499562762155133,0.0
168,74.1617716390896,31.504073537784517,0.0
169,74.16173138249873,31.508584310184325,0.0
170,74.16169111687006,31.513095079354304,1317.5146967052501
171,74.16165084220182,31.517605845294174,1738.5623594875099
172,74.16161055849219,31.522116608003675,1332.9483778568401
173,74.16157026573936,31.526627367482543,2325.083481743486
174,74.16152996394153,31.53113812373051,2236.053422350521
175,74.16148965309694,31.53564887674731,1165.4486417208657
176,74.16144933320375,31.54015962653268,4344.622223271664
177,74.16140900426021,31.544670373086383,1833.9189604625494
178,74.16136866626448,31.54918111640811,211.66198212290004
179,74.16132831921479,31.553691856497622,1337.5963039938135
180,74.16128796310932,31.558202593354636,1122.4325751039141
181,74.1612475979463,31.562713326978923,0.0
182,74.16120722372388,31.567224057370183,0.0
183,74.16116684044029,31.571734784528175,650.186273149327
184,74.16112644809373,31.576245508452633,351.8556910769128
185,74.1610860466824,31.58075622914328,896.7872098928931
186,74.16104563620446,31.58526694659986,141.22590869370418
187,74.16100521665814,31.589777660822108,1522.460603941639
188,74.16096478804164,31.59428837180977,0.0
189,74.16092435035316,31.59879907956257,403.60403739872504
190,74.16088390359086,31.603309784080267,2162.6894914096993
191,74.16084344775295,31.607820485362566,1000.3437578745563
192,74.16080298283764,31.612331183409214,1000.1787796526476
193,74.1607625088431,31.616841878219958,2030.1846739835037
194,74.16072202576756,31.62135256979454,1000.0732311669422
195,74.16068153360916,31.62586325813267,1570.221861108129
196,74.1606410323661,31.63037394323411,609.5127765758931
197,74.1606005220366,31.63488462509859,2178.5358176506465
198,74.16056000261884,31.63939530372584,2153.9068981092714
199,74.160519474111,31.643905979115605,1319.862971816261
200,74.16047893651127,31.648416651267638,643.8394640887019
201,74.16839124044701,31.35073953010439,6788.4204939752535
202,74.16835154093067,31.355250418184315,6932.762041660399
203,74.16831183249356,31.35976130304401,8212.365071735383
204,74.16827211513389,31.364272184683195,9590.192334511119
205,74.16823238884986,31.36878306310162,10203.503034718164
206,74.16819265363975,31.373293938299014,12789.097376221616
207,74.1681529095018,31.377804810275112,12897.754227360401
208,74.16811315643425,31.38231567902964,7303.266142817812
209,74.16807339443528,31.38682654456234,6880.067479693889
210,74.16803362350318,31.391337406872925,8698.01053769113
211,74.16799384363614,31.395848265961153,7153.172693171129
212,74.16795405483242,31.40035912182675,5194.081400908094
213,74.16791425709026,31.404869974469452,4165.4398754213635
214,74.16787445040785,31.409380823888974,9245.13257338656
215,74.16783463478347,31.41389167008507,3491.4490579129197
216,74.16779481021533,31.418402513057465,2611.864473186307
217,74.16775497670164,31.422913352805896,5536.885358300949
218,74.16771513424068,31.4274241893301,13477.065093610016
219,74.16767528283061,31.431935022629816,2500.949340720699
220,74.16763542246971,31.436445852704757,214.89732748056227
221,74.1675955531562,31.44095667955467,0.0
222,74.16755567488828,31.44546750317929,0.0
223,74.16751578766419,31.449978323578346,0.0
224,74.16747589148216,31.454489140751583,0.0
225,74.16743598634042,31.458999954698722,0.0
226,74.1673960722372,31.463510765419514,0.0
227,74.16735614917067,31.468021572913674,0.0
228,74.16731621713912,31.47253237718095,0.0
229,74.16727627614075,31.477043178221088,0.0
230,74.16723632617379,31.48155397603378,0.0
231,74.16719636723641,31.486064770618803,0.0
232,74.16715639932691,31.49057556197588,0.0
233,74.16711642244346,31.49508635010475,0.0
234,74.16707643658428,31.499597135005125,0.0
235,74.16703644174761,31.504107916676766,0.0
236,74.16699643793166,31.508618695119406,0.0
237,74.16695642513463,31.513129470332768,1201.637905681563
238,74.16691640335476,31.51764024231659,1325.4584917354769
239,74.16687637259027,31.522151011070623,1025.827456602512
240,74.16683633283935,31.52666177659458,2074.1331845128007
241,74.16679628410024,31.531172538888207,2758.269390234402
242,74.16675622637115,31.535683297951238,1323.594682480289
243,74.16671615965028,31.540194053783416,987.203177285104
244,74.16667608393583,31.54470480638447,2080.6184789315203
245,74.16663599922606,31.549215555754145,52.032973810738966
246,74.16659590551917,31.55372630189217,2026.932641209461
247,74.16655580281332,31.55823704479826,1170.2823360519465
248,74.1665156911068,31.562747784472183,0.0
249,74.16647557039778,31.567258520913676,0.0
250,74.16643544068444,31.57176925412245,0.0
251,74.16639530196504,31.576279984098274,1002.1186510693333
252,74.16635515423776,31.58079071084084,1155.7796935332526
253,74.16631499750083,31.585301434349926,0.0
254,74.16627483175245,31.58981215462525,310.71607367010586
255,74.16623465699081,31.594322871666545,747.667553010027
256,74.16619447321412,31.598833585473557,0.0
257,74.16615428042061,31.603344296046036,1000.0761561121832
258,74.16611407860847,31.607855003383683,0.0
259,74.1660738677759,31.612365707486262,0.0
260,74.16603364792111,31.616876408353498,46.45394485351294
261,74.16599341904232,31.621387105985146,1279.6811896381985
262,74.16595318113768,31.625897800380923,1587.7444468448534
